station,x_m,y_m,z_m
6,1.9580,0.1489,-0.3343
6,1.9580,0.1646,-0.3289
6,1.9580,0.1800,-0.3230
6,1.9580,0.1951,-0.3166
6,1.9580,0.2100,-0.3097
6,1.9580,0.2245,-0.3022
6,1.9580,0.2386,-0.2943
6,1.9580,0.2523,-0.2859
6,1.9580,0.2657,-0.2771
6,1.9580,0.2786,-0.2678
6,1.9580,0.2911,-0.2580
6,1.9580,0.3030,-0.2479
6,1.9580,0.3144,-0.2372
6,1.9580,0.3253,-0.2263
6,1.9580,0.3356,-0.2149
6,1.9580,0.3454,-0.2032
6,1.9580,0.3547,-0.1912
6,1.9580,0.3634,-0.1788
6,1.9580,0.3715,-0.1662
6,1.9580,0.3790,-0.1533
6,1.9580,0.3859,-0.1402
6,1.9580,0.3922,-0.1268
6,1.9580,0.3979,-0.1132
6,1.9580,0.4029,-0.0995
6,1.9580,0.4072,-0.0856
6,1.9580,0.4109,-0.0715
6,1.9580,0.4140,-0.0574
6,1.9580,0.4164,-0.0431
6,1.9580,0.4181,-0.0288
6,1.9580,0.4191,-0.0144
6,1.9580,0.4195,-0.0000
6,1.9580,0.4271,0.0648
6,1.9580,0.4348,0.1295
6,1.9580,0.4425,0.1943
6,1.9580,0.4501,0.2591
6,1.9580,0.4578,0.3239
6,1.9580,0.4655,0.3886
6,1.9580,0.4731,0.4534
6,1.9580,0.4808,0.5182
6,1.9580,0.4885,0.5829
6,1.9580,0.4961,0.6477
6,1.9580,0.5038,0.7125
6,1.9580,0.5114,0.7772
7,2.5935,-0.6760,0.7662
7,2.5935,-0.6687,0.7023
7,2.5935,-0.6613,0.6385
7,2.5935,-0.6540,0.5746
7,2.5935,-0.6467,0.5108
7,2.5935,-0.6394,0.4469
7,2.5935,-0.6320,0.3831
7,2.5935,-0.6247,0.3192
7,2.5935,-0.6174,0.2554
7,2.5935,-0.6100,0.1915
7,2.5935,-0.6027,0.1277
7,2.5935,-0.5954,0.0638
7,2.5935,-0.5880,-0.0000
7,2.5935,-0.5875,-0.0159
7,2.5935,-0.5860,-0.0317
7,2.5935,-0.5836,-0.0475
7,2.5935,-0.5803,-0.0633
7,2.5935,-0.5760,-0.0789
7,2.5935,-0.5708,-0.0944
7,2.5935,-0.5647,-0.1097
7,2.5935,-0.5577,-0.1249
7,2.5935,-0.5498,-0.1399
7,2.5935,-0.5410,-0.1546
7,2.5935,-0.5313,-0.1691
7,2.5935,-0.5208,-0.1833
7,2.5935,-0.5095,-0.1973
7,2.5935,-0.4973,-0.2109
7,2.5935,-0.4843,-0.2241
7,2.5935,-0.4706,-0.2371
7,2.5935,-0.4561,-0.2496
7,2.5935,-0.4409,-0.2617
7,2.5935,-0.4249,-0.2734
7,2.5935,-0.4082,-0.2847
7,2.5935,-0.3907,-0.2954
7,2.5935,-0.3726,-0.3056
7,2.5935,-0.3539,-0.3154
7,2.5935,-0.3346,-0.3247
7,2.5935,-0.3148,-0.3334
7,2.5935,-0.2944,-0.3416
